"sample_timestamp_utc","nvidia_timestamp","gpu_name","pstate","pcie_link_gen_current","pcie_link_width_current","memory_total_mib","memory_used_mib","memory_free_mib"
"2026-08-28T12:31:35.7811962Z","2026/08/28 14:31:35.829","NVIDIA GeForce RTX 3080","P8","1","16","10240","1057","8997"
"2026-08-28T12:31:35.9813023Z","2026/08/28 14:31:36.026","NVIDIA GeForce RTX 3080","P2","4","16","10240","1238","8816"
"2026-08-28T12:31:36.1490108Z","2026/08/28 14:31:36.198","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:36.3157875Z","2026/08/28 14:31:36.380","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:36.5132361Z","2026/08/28 14:31:36.581","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:36.6984719Z","2026/08/28 14:31:36.764","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:36.8816863Z","2026/08/28 14:31:36.948","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:37.0825179Z","2026/08/28 14:31:37.148","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:37.2501379Z","2026/08/28 14:31:37.313","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:37.4314249Z","2026/08/28 14:31:37.497","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:37.6310213Z","2026/08/28 14:31:37.697","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:37.8141771Z","2026/08/28 14:31:37.880","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:38.0141857Z","2026/08/28 14:31:38.066","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:38.1996301Z","2026/08/28 14:31:38.265","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:38.3980383Z","2026/08/28 14:31:38.464","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:38.5989042Z","2026/08/28 14:31:38.647","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:38.7692254Z","2026/08/28 14:31:38.832","NVIDIA GeForce RTX 3080","P2","4","16","10240","1751","8303"
"2026-08-28T12:31:38.9353608Z","2026/08/28 14:31:38.981","NVIDIA GeForce RTX 3080","P2","4","16","10240","1750","8304"
"2026-08-28T12:31:39.1149501Z","2026/08/28 14:31:39.197","NVIDIA GeForce RTX 3080","P2","4","16","10240","1743","8311"
"2026-08-28T12:31:39.3178873Z","2026/08/28 14:31:39.380","NVIDIA GeForce RTX 3080","P2","4","16","10240","1743","8311"
"2026-08-28T12:31:39.4821370Z","2026/08/28 14:31:39.543","NVIDIA GeForce RTX 3080","P2","4","16","10240","1743","8311"
"2026-08-28T12:31:39.6807976Z","2026/08/28 14:31:39.748","NVIDIA GeForce RTX 3080","P2","4","16","10240","1743","8311"
"2026-08-28T12:31:39.8644667Z","2026/08/28 14:31:39.932","NVIDIA GeForce RTX 3080","P2","4","16","10240","1742","8312"
"2026-08-28T12:31:40.0479007Z","2026/08/28 14:31:40.103","NVIDIA GeForce RTX 3080","P2","4","16","10240","1738","8316"
"2026-08-28T12:31:40.2308415Z","2026/08/28 14:31:40.282","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:40.4005616Z","2026/08/28 14:31:40.447","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:40.5649296Z","2026/08/28 14:31:40.631","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:40.7343519Z","2026/08/28 14:31:40.797","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:40.9314772Z","2026/08/28 14:31:40.997","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:41.1166695Z","2026/08/28 14:31:41.182","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:41.2976862Z","2026/08/28 14:31:41.347","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:41.4811112Z","2026/08/28 14:31:41.547","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:41.6812294Z","2026/08/28 14:31:41.747","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:41.8812584Z","2026/08/28 14:31:41.932","NVIDIA GeForce RTX 3080","P2","4","16","10240","1749","8305"
"2026-08-28T12:31:42.0657483Z","2026/08/28 14:31:42.114","NVIDIA GeForce RTX 3080","P2","4","16","10240","1046","9008"
