gguf_tensor_name,rank,dimensions,parameter_count,type_id,type_name,block_size,bytes_per_block,nominal_bits_per_parameter,relative_offset,absolute_offset,packed_bytes,padding_after_bytes,payload_end_absolute,canonical_tensor_names,canonical_mapping_status,canonical_component,canonical_layer_id,initial_text_scope,packed_family,mapping_rule,evidence_ids
blk.0.attn_gate.weight,2,2560x6144,15728640,8,Q8_0,32,34,8.5,30158003200,30169027520,16711680,0,30185739200,model.language_model.layers.0.linear_attn.in_proj_z.weight,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.0.attn_qkv.weight,2,2560x10240,26214400,8,Q8_0,32,34,8.5,30174714880,30185739200,27852800,0,30213592000,model.language_model.layers.0.linear_attn.in_proj_qkv.weight,TRANSFORMED_LAYOUT,gdn,0,REQUIRED_INITIAL_TEXT,gdn,KQ-GGUF-RULE-CONVERTER-TRANSFORM-v1,KQ-GGUF-EVIDENCE-003
blk.0.ffn_down_exps.weight,3,640x2560x512,838860800,7,Q5_1,32,24,6.0,30202567680,30213592000,629145600,0,30842737600,model.language_model.layers.0.mlp.experts.down_proj,RENAMED_ONE_TO_ONE,routed_experts,0,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ffn_down_shexp.weight,2,640x2560,1638400,8,Q8_0,32,34,8.5,30831713280,30842737600,1740800,0,30844478400,model.language_model.layers.0.mlp.shared_expert.down_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,0,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ffn_gate_exps.weight,3,2560x640x512,838860800,12,Q4_K,256,144,4.5,30833454080,30844478400,471859200,0,31316337600,model.language_model.layers.0.mlp.experts.gate_up_proj,SPLIT_IN_GGUF,routed_experts,0,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004
blk.0.ffn_gate_inp.weight,2,2560x512,1310720,0,F32,1,4,32.0,31305313280,31316337600,5242880,0,31321580480,model.language_model.layers.0.mlp.gate.weight,RENAMED_ONE_TO_ONE,router,0,REQUIRED_INITIAL_TEXT,router,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ffn_gate_inp_shexp.weight,1,2560,2560,0,F32,1,4,32.0,31310556160,31321580480,10240,0,31321590720,model.language_model.layers.0.mlp.shared_expert_gate.weight,RENAMED_ONE_TO_ONE,shared_expert,0,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ffn_gate_shexp.weight,2,2560x640,1638400,8,Q8_0,32,34,8.5,31310566400,31321590720,1740800,0,31323331520,model.language_model.layers.0.mlp.shared_expert.gate_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,0,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.ffn_up_exps.weight,3,2560x640x512,838860800,12,Q4_K,256,144,4.5,31312307200,31323331520,471859200,0,31795190720,model.language_model.layers.0.mlp.experts.gate_up_proj,SPLIT_IN_GGUF,routed_experts,0,REQUIRED_INITIAL_TEXT,routed_experts,KQ-GGUF-RULE-MOE-SPLIT-v1,KQ-GGUF-EVIDENCE-004
blk.0.ffn_up_shexp.weight,2,2560x640,1638400,8,Q8_0,32,34,8.5,31784166400,31795190720,1740800,0,31796931520,model.language_model.layers.0.mlp.shared_expert.up_proj.weight,RENAMED_ONE_TO_ONE,shared_expert,0,REQUIRED_INITIAL_TEXT,shared_experts,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
blk.0.hc_attn_down.weight,2,10240x320,3276800,8,Q8_0,32,34,8.5,31785907200,31796931520,3481600,0,31800413120,model.language_model.layers.0.attn_hyper_connection.input_mix_weight_down.weight,RENAMED_ONE_TO_ONE,gated_residual,0,REQUIRED_INITIAL_TEXT,gated_residual,KQ-GGUF-RULE-TENSOR-NAME-v1,KQ-GGUF-EVIDENCE-002
