tensor_name,shard,dtype,shape,rank,parameter_count,payload_bytes,subsystem,component,layer_id,expert_id,initial_text_scope,classification_rule,placement_candidate,notes
lm_head.weight,model-00131-of-00131.safetensors,BF16,248320x2560,2,635699200,1271398400,text,lm_head,,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:lm_head,ALWAYS_NEEDED_CANDIDATE,
model.language_model.embed_tokens.weight,model-00130-of-00131.safetensors,BF16,248320x2560,2,635699200,1271398400,text,token_embedding,,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:token_embedding,ALWAYS_NEEDED_CANDIDATE,
model.language_model.hyper_connection_mixer.hc_norm.weight,model-00001-of-00131.safetensors,BF16,10240,1,10240,20480,text,final_gated_residual,,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:final_gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.hyper_connection_mixer.input_mix_weight_down.weight,model-00001-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,final_gated_residual,,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:final_gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.hyper_connection_mixer.input_mix_weight_up.weight,model-00001-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,final_gated_residual,,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:final_gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.attn_hyper_connection.block_inject_weight.weight,model-00001-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.attn_hyper_connection.hc_norm.weight,model-00001-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.attn_hyper_connection.input_mix_weight_down.weight,model-00001-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.attn_hyper_connection.input_mix_weight_up.weight,model-00001-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.0.linear_attn.A_log,model-00001-of-00131.safetensors,BF16,48,1,48,96,text,gdn,0,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
